theta;f;class
23;0.91;perto
23;0.92;perto
23;0.93;perto
23;0.94;perto
23;0.95;muito perto
23;0.96;muito perto
23;0.97;longe
23;0.98;longe
23;0.99;muito perto
24;0.5;longe
24;0.51;longe
24;0.52;longe
24;0.53;longe
24;0.54;longe
24;0.55;longe
24;0.56;longe
24;0.57;longe
24;0.58;longe
24;0.59;longe
24;0.6;longe
24;0.61;longe
24;0.62;longe
24;0.63;longe
24;0.64;longe
24;0.65;longe
24;0.66;longe
24;0.67;longe
24;0.68;longe
24;0.69;longe
24;0.7;longe
24;0.71;longe
24;0.72;longe
24;0.73;longe
24;0.74;longe
24;0.75;longe
24;0.76;longe
24;0.77;longe
24;0.78;longe
24;0.79;longe
24;0.8;longe
24;0.81;longe
24;0.82;longe
24;0.83;longe
24;0.84;longe
24;0.85;longe
24;0.86;longe
24;0.87;perto
24;0.88;perto
24;0.89;perto
24;0.9;perto
24;0.91;perto
24;0.92;perto
24;0.93;muito perto
24;0.94;muito perto
24;0.95;longe
24;0.96;longe
24;0.97;perto
24;0.98;acertou
24;0.99;acertou
25;0.5;longe
25;0.51;longe
25;0.52;longe
25;0.53;longe
25;0.54;longe
25;0.55;longe
25;0.56;longe
25;0.57;longe
25;0.58;longe
25;0.59;longe
25;0.6;longe
25;0.61;longe
25;0.62;longe
25;0.63;longe
25;0.64;longe
25;0.65;longe
25;0.66;longe
25;0.67;longe
25;0.68;longe
25;0.69;longe
25;0.7;longe
25;0.71;longe
25;0.72;longe
25;0.73;longe
25;0.74;longe
25;0.75;longe
25;0.76;longe
25;0.77;longe
25;0.78;longe
25;0.79;longe
25;0.8;longe
25;0.81;longe
25;0.82;longe
25;0.83;longe
25;0.84;longe
25;0.85;perto
25;0.86;perto
25;0.87;perto
25;0.88;perto
25;0.89;perto
25;0.9;perto
25;0.91;muito perto
25;0.92;muito perto
25;0.93;longe
25;0.94;longe
25;0.95;longe
25;0.96;perto
25;0.97;acertou
25;0.98;perto
25;0.99;acertou
26;0.5;longe
26;0.51;longe
26;0.52;longe
26;0.53;longe
26;0.54;longe
26;0.55;longe
26;0.56;longe
26;0.57;longe
26;0.58;longe
26;0.59;longe
26;0.6;longe
26;0.61;longe
26;0.62;longe
26;0.63;longe
26;0.64;longe
26;0.65;longe
26;0.66;longe
26;0.67;longe
26;0.68;longe
26;0.69;longe
26;0.7;longe
26;0.71;longe
